"1000","3000","10000","30000","100000",1-level,2-level,3-level,4-level,5-level,6-level,7-level,8-level,9-level,10-level,11-level,12-level,13-level,14-level,15-level,16-level,17-level,18-level,19-level,20-level,benchmark,y
57585,57583.2,57581,57573,57580.2,57585,57583.5,57582.5,57583,57581.75,57581.75,57579.75,57578.5,57578.5,57577.75,57577.75,57576.75,57577.25,57578.5,57580.5,57580.5,57580.5,57580.75,57579.25,57579.5,57581,57580.5
57582.2,57583.8,57584.2,57577,57577.8,57582.25,57583.25,57583.5,57582.25,57579.5,57577.75,57577,57577,57577.5,57576.75,57577.5,57576.5,57577.5,57577.5,57577.75,57578,57578,57579.75,57579.25,57577.5,57580.5,57556
57555.5,57556.2,57557,57557,57553.8,57555.5,57555,57556,57556,57556.5,57556,57556,57557,57556.25,57556.25,57555.75,57557,57557,57558,57556.75,57556,57555.75,57555.5,57556,57555.5,57556,57580.1
57577,57580.8,57581.2,57584,57581.2,57577.25,57579.25,57580.5,57579.75,57579.5,57582.25,57580,57580,57579.75,57578.5,57579.25,57578.25,57579,57579.25,57579.25,57579.25,57579,57580,57580,57576.75,57580.1,57613.5
57611.5,57611.5,57608.5,57613.2,57619.5,57611.75,57616.25,57615,57616.5,57616.5,57614.5,57614.5,57614,57613,57613,57613.25,57613.25,57611.75,57613.25,57614.75,57614.5,57613.5,57611,57611.25,57610.25,57613.5,57612.3
57613.2,57610.2,57610,57611,57617.5,57613.25,57610.25,57611,57612.75,57612.5,57613.25,57612.75,57612.75,57611.75,57611.75,57609.75,57610,57609.5,57609.5,57609,57609,57607,57608.25,57604.75,57604.75,57612.3,57612.7
57614,57611.8,57611.8,57613.5,57620.5,57614.25,57615.75,57614,57612.25,57611.5,57611.25,57607.5,57608.5,57608.25,57609,57609,57609.25,57609.25,57608,57609,57608.5,57607.75,57607.75,57607.5,57607,57612.7,57611.2
57612.8,57613,57611.2,57607,57608.2,57613,57613,57613.25,57612,57612.75,57613.5,57610.5,57610.5,57610.5,57610.5,57608.25,57608.25,57608.75,57608.75,57608.75,57607.25,57605.75,57606,57606,57604.75,57611.2,57590.1
57591.8,57591.8,57595.2,57591.5,57593.8,57591.75,57585.75,57585.75,57585.25,57587.5,57586.5,57587.25,57587.5,57585,57585.25,57584.5,57586.25,57586.25,57584.75,57585.25,57586.25,57585.5,57584,57584.25,57584.25,57590.1,57608.2
57610,57608.5,57608,57606.8,57606.2,57610,57608.5,57608.5,57608.5,57608.75,57608.5,57607.25,57608,57608,57606.5,57605.5,57605.5,57605,57606,57606.25,57605.5,57606,57605,57605.5,57605.25,57608.2,57618.3
57618,57619.8,57623.2,57616.8,57614.8,57618,57620,57622.25,57622.5,57617,57616.75,57616.75,57616.5,57616,57614.75,57614.75,57614.75,57613.75,57615,57616,57616,57616.75,57615.5,57615.5,57612.25,57618.3,57643.9
57642.8,57646.8,57646,57641.2,57640.8,57643,57646.75,57646,57646.5,57646,57643.75,57643.5,57642.25,57643.5,57643.25,57643.25,57643,57643.75,57644.5,57645.25,57645,57644.25,57642.75,57640.5,57639,57643.9,57636.7
57637.2,57635,57641.2,57634.2,57635,57637.25,57639.25,57639.75,57638.75,57636.5,57636,57635,57635.75,57636,57635.75,57635.75,57635,57635.75,57634.75,57633.75,57634,57633.75,57634.5,57633.75,57633,57636.7,57624.6
57625.2,57622,57625,57626,57628.2,57625.25,57624.5,57623.5,57624,57623,57624,57624,57624.25,57623.5,57625.25,57625.25,57624.75,57625.75,57626,57625.75,57624,57624,57623.75,57625,57623.5,57624.6,57631.7
57633.5,57635.5,57631.5,57630.8,57632.5,57633.5,57634.5,57629.25,57630.75,57630.5,57628.75,57630.5,57630.5,57629.75,57629.75,57628.5,57627,57627,57626,57625.25,57624.25,57626.5,57626.75,57628,57628,57631.7,57635.4
57633,57635.5,57635.8,57636.5,57637.8,57633.25,57635.5,57635.75,57635.75,57635.5,57636,57634.75,57636.25,57636,57635.5,57634.75,57634.5,57633,57633.5,57633.5,57633.25,57633.5,57634.75,57634.75,57635,57635.4,57629.1
57626.5,57626.5,57632,57631,57630.8,57626.75,57629.25,57628.5,57628.75,57629.25,57630,57630,57630,57630,57629,57630.75,57631,57631.75,57630.75,57630.75,57630,57629.5,57629,57627.5,57626.75,57629.1,57629.4
57628.8,57626,57629.8,57628.2,57630,57629,57629.25,57630.25,57630.75,57630,57632.75,57632.25,57629.5,57630,57630,57629.25,57628.75,57628.75,57632.25,57632,57633.25,57631.25,57631.25,57630.25,57630.25,57629.4,57629.9
57631,57633.8,57633.5,57627,57628.5,57630.75,57630.25,57630.5,57632.75,57631.5,57630.25,57626.75,57626.5,57625.75,57626.25,57626.25,57626,57627,57627,57627.25,57627,57627.5,57626.75,57624.25,57625.5,57629.9,57637
57634.8,57636.2,57639.2,57640,57641.8,57634.5,57633.5,57634.75,57636,57636.5,57635,57636.5,57636.5,57635.5,57635,57633,57632.75,57632.75,57632.5,57632.75,57632.25,57630.75,57631,57631,57630.25,57637,57647
57648.2,57648.2,57649.2,57646.5,57646.5,57648,57647.75,57647.25,57646,57645,57646,57645.25,57645.25,57645.25,57645,57645,57643.25,57643.25,57641.5,57642.75,57642.5,57641.75,57641,57640,57640.25,57647,57644.8
57644.8,57645.8,57647,57644.2,57644.2,57644.5,57644,57645.75,57645.25,57644.25,57644.75,57643.75,57644.25,57643.5,57643,57643.5,57642,57643.5,57641.25,57641,57640.75,57641.25,57641.25,57640,57639.75,57644.8,57636
57633.8,57635.5,57639.2,57639.8,57636.5,57636.5,57637.5,57635.5,57634.5,57636.5,57637,57633.75,57632.5,57633.25,57632.25,57633.25,57633.75,57632.25,57632,57631.5,57631,57631.25,57630.25,57631,57632.25,57636,57643.7
57643.5,57645,57646.5,57643.8,57644.5,57643.25,57641.75,57642,57641.25,57642.25,57642.75,57642.75,57643.5,57643.5,57643.5,57642.75,57643.25,57640.75,57641.25,57641.75,57641.75,57641,57640.25,57641.25,57640.25,57643.7,57645.1
57645,57645,57646.5,57643.8,57645.5,57644.75,57643.25,57645.25,57646.5,57646,57644.75,57644.5,57644.5,57644.5,57644.75,57645.5,57644.75,57647,57646.75,57645.75,57642.75,57643,57643.25,57642.5,57642.25,57645.1,57656.9
