"1,000","3,000","10,000","30,000","100,000",1-level,2-level,3-level,4-level,5-level,6-level,7-level,8-level,9-level,10-level,11-level,12-level,13-level,14-level,15-level,16-level,17-level,18-level,19-level,20-level,benchmark,y
32489.3,32489.3,32491,32491.3,32486.3,32492.25,32491,32492.5,32492.25,32492,32492,32491.25,32490.5,32490,32489.75,32489.25,32490.75,32490.75,32489.75,32491,32491,32491,32491.5,32490.5,32491.75,32490.52,32480.74
32478.3,32476.8,32476.3,32482.5,32486,32478,32477,32484.25,32484.25,32483.75,32483.75,32483.75,32484.5,32484.5,32484.75,32485.5,32485.25,32485.25,32486,32486.5,32486.5,32486.5,32487.75,32487.5,32486.75,32480.74,32486.24
32486.3,32484.5,32487.3,32485.5,32489,32485.75,32484.5,32485.75,32486.25,32487.5,32486.25,32485.75,32487,32486.75,32486.5,32486.75,32485.75,32485,32484.75,32485.25,32486,32486,32486.5,32486.5,32487.25,32486.24,32490.96
32493.3,32492,32491.3,32488,32490,32489.5,32493,32492,32491.5,32490.75,32490.5,32490.5,32490.5,32491,32491,32491,32491,32491.25,32491.25,32491.5,32493.25,32492.25,32492.5,32492.5,32492.25,32490.96,32479.54
32478.5,32479,32479,32481.3,32482.8,32480,32478.5,32478.75,32478.5,32478.75,32478.75,32478.75,32479,32479,32479.25,32479.5,32479.5,32478.75,32478.25,32478,32478,32478,32479,32478.75,32478.75,32479.54,32471.99
32472.8,32472.5,32471.3,32471.8,32477,32471,32472.25,32471.25,32468.25,32468.75,32471.5,32471.75,32471.5,32471.5,32471.5,32471.5,32472,32472,32471.5,32471.75,32471.25,32471.25,32471.25,32469.25,32469.75,32471.99,32478.75
32478,32478,32478,32481,32479.5,32478,32476.75,32480,32480.75,32480,32478.75,32478.75,32478.75,32478.75,32478.75,32478.75,32479,32478.75,32479,32478.5,32478,32478,32477.25,32477.25,32478.25,32478.75,32495.69
32495.8,32493,32493,32494.8,32500.5,32495.5,32495.75,32496.25,32496.25,32494.75,32494.75,32494.75,32497.5,32497.25,32496,32496,32495.5,32495.5,32495.25,32495.5,32496.5,32497,32497,32495.5,32495.25,32495.69,32506.64
32506.5,32507.3,32507.3,32511,32512.8,32506,32505.5,32504.75,32504,32502.75,32502.75,32502.5,32503.25,32503.75,32502.75,32502.5,32502.5,32502.5,32502.5,32502.5,32502.25,32502.25,32501.75,32501.5,32501,32506.64,32506.24
32505.5,32505.5,32505.5,32507.3,32513.8,32505,32503.5,32503.75,32504.5,32504.5,32506.5,32505.25,32505.25,32505.25,32505.25,32505.25,32504.75,32504.75,32505.25,32505.25,32504.5,32504.5,32505,32505,32503.5,32506.24,32509.21
