"1,000","3,000","10,000","30,000","100,000",1-level,2-level,3-level,4-level,5-level,6-level,7-level,8-level,9-level,10-level,11-level,12-level,13-level,14-level,15-level,16-level,17-level,18-level,19-level,20-level,benchmark,y
32738.8,32738.5,32739.5,32740.8,32741.8,32741,32740,32740,32740.5,32740.75,32740.75,32740.75,32739.75,32740.25,32740.25,32740.25,32739.75,32739.25,32739.25,32739.5,32738.75,32738.5,32738.25,32738,32737.5,32740.14,32743.62
32742.8,32742.3,32742.3,32743,32743,32744.75,32745,32744,32744.5,32744,32744.25,32744.25,32744.25,32744.5,32744.25,32743.75,32742,32741.75,32742,32741.5,32741.5,32742.5,32742.5,32742.75,32741.75,32743.62,32743.79
32743.3,32742.5,32742.5,32743.3,32745,32744.5,32744.75,32743.75,32744,32744,32744,32744.25,32744,32743.5,32741.75,32741.5,32741.5,32741.5,32741.5,32741.5,32742.75,32743.25,32743.25,32743,32741.5,32743.79,32723.19
32719.5,32722,32722.8,32725.8,32726.3,32724.75,32722,32721.5,32722.25,32722.75,32722.75,32723.75,32723.75,32723.75,32723.5,32724,32724.75,32725.75,32725.75,32726,32725.5,32725.75,32725.5,32725.5,32725.75,32723.19,32729.66
32729.8,32728.8,32728,32729,32729,32730.25,32730.5,32731.5,32730.25,32730.75,32730.75,32731,32730.25,32730.5,32730.75,32730.75,32730.75,32730.75,32731,32731,32731.5,32731.5,32732,32731.5,32731.5,32729.66,32730.29
32729.8,32730.3,32728,32730.5,32730.5,32730,32730.25,32731.5,32731,32731.5,32731.5,32731.5,32731,32731,32731,32731.25,32731,32732,32732,32732,32732.25,32731.75,32732,32732,32731,32730.29,32749.12
32749.3,32750.5,32751,32751.3,32751.3,32750.5,32750.5,32745.75,32745.5,32745.5,32745.75,32745.5,32745.5,32745.5,32745.5,32745.75,32746,32747,32746,32745,32744.75,32744.5,32745,32744.75,32744.75,32749.12,32745.8
32745.3,32746.3,32745.8,32745.8,32743.8,32745.25,32746.25,32746,32746.5,32746.5,32746.75,32746.75,32746.25,32745.75,32744.75,32745.25,32745.25,32745.25,32745.25,32745,32745,32745.5,32745,32744.5,32743.75,32745.8,32745.35
32745.3,32745.3,32745.3,32744.3,32743.8,32746,32746.5,32745.5,32746,32746.75,32746.25,32745.75,32744.75,32745.25,32744.75,32745,32744.75,32744.25,32743.75,32743.25,32742.75,32742.75,32743,32742.75,32743.75,32745.35,32744.82
32745.8,32744.8,32743.3,32743.5,32743.8,32745.75,32745.25,32745.25,32745.25,32745.75,32745.75,32745.25,32745,32744.5,32744.5,32744.5,32744.5,32744.5,32744,32743.75,32743.75,32743.25,32742.75,32742.5,32742.5,32744.82,32739.44
32737.3,32738,32740,32740.5,32742.3,32741.75,32738,32738.75,32739,32738.75,32738.5,32739,32739,32738.75,32739,32739.75,32739.5,32739.75,32740,32739.75,32739.75,32739,32739,32740.5,32740.5,32739.44,32738.54
32737.8,32737.5,32738,32740.3,32742.3,32738.75,32738.5,32738,32737,32737,32737.5,32737.5,32737.75,32738,32738.25,32738.25,32738.75,32738.5,32738.5,32736.25,32736.25,32736.25,32736.25,32736.75,32736.5,32738.54,32739.99
32738.5,32739.5,32738.8,32741,32742.3,32740,32739.75,32740.5,32740.75,32739.5,32739.5,32739.5,32739.75,32739.75,32740,32739.75,32740,32740,32740,32739.25,32738.25,32737.75,32737.75,32737.75,32738,32739.99,32742.36
32740.5,32741,32739.8,32743,32744.5,32741.25,32742,32741.25,32745,32744.25,32743.75,32743.25,32742.75,32742,32742,32741.75,32741.75,32741.5,32741.5,32741.5,32741.25,32741,32741.75,32741,32741.5,32742.36,32736.98
32736.5,32737,32738,32736.5,32736.5,32737.25,32737,32737,32736.5,32736.5,32736.75,32737,32737.75,32737.75,32737,32737,32737,32735.75,32735.75,32736.25,32735.75,32735.75,32736,32736.5,32736.5,32736.98,32737.07
32735.3,32735.3,32736.3,32737.5,32741.8,32738.25,32736.25,32736.5,32736.25,32736.25,32737,32736.25,32736.75,32737.5,32737.5,32737.25,32737.25,32737.25,32737.25,32736.75,32736.75,32736.75,32736.5,32737,32737,32737.07,32737.15
32735.8,32735.3,32736.3,32738.3,32741.8,32738.25,32736.75,32737,32736.25,32736.25,32736.25,32736.5,32736.5,32736.5,32736.5,32736.75,32736.75,32736.75,32736.75,32737,32735.75,32735.5,32735.5,32735.5,32735.75,32737.15,32727.51
32727,32728.5,32729.5,32726.8,32722.8,32728.5,32727,32728.25,32727.75,32727.5,32728,32728.25,32729.25,32729,32728,32728,32727.75,32727.25,32727,32727.25,32727.75,32727.75,32727,32728,32728,32727.51,32741.07
32740.3,32740.3,32741.3,32741,32740,32740.75,32741.5,32742,32742,32741.75,32741.75,32741.75,32741.75,32742,32742.25,32741.75,32741.5,32741.25,32741.25,32739.75,32740,32739,32739.25,32739.75,32737,32741.07,32740.95
32742.5,32740.5,32740.5,32740,32741.5,32740.5,32740.5,32740,32740.5,32740.5,32741.5,32741.5,32741.5,32741.5,32742.25,32741.25,32741.25,32741.25,32741.5,32741,32741,32740,32740,32740,32740.25,32740.95,32739.03
32739.5,32738.5,32739.5,32739,32741.3,32736,32738.5,32739,32739.25,32739.25,32739.5,32739.5,32739.25,32739.25,32738.75,32738.75,32739,32739,32739,32738,32738.75,32738.5,32738.5,32738.5,32738.25,32739.03,32744.11
32746,32743,32743,32744.5,32744.3,32743.5,32743,32741.75,32744.75,32745.25,32744.25,32744.5,32744.75,32744.75,32744.75,32744.5,32744.5,32744.25,32744,32744.5,32745.25,32745,32744.25,32744.5,32744,32744.11,32746.47
32746.8,32746.8,32746.8,32749,32750.8,32745.75,32744.5,32744.25,32745.25,32744.25,32744.5,32744.5,32744.5,32744.25,32745,32745,32744.75,32744.5,32744.5,32744.5,32744.25,32744.25,32744.25,32744.25,32744.75,32746.47,32750.48
32751,32751,32752.5,32752,32753,32750.75,32750.25,32751,32748.5,32748.5,32748,32747.75,32747.75,32747.75,32748.25,32748.25,32748.75,32747.25,32747.25,32747.5,32747.75,32748,32748.5,32748.5,32748.5,32750.48,32750.86
32751.3,32750.5,32750.8,32752.5,32753,32751.25,32750.75,32750.75,32750.25,32750.25,32749.5,32749.5,32748.75,32748.75,32749.25,32749.75,32749.25,32749.25,32748,32748,32748.25,32748,32747.5,32748,32747,32750.86,32752.05
32751.3,32750.5,32751.3,32753.3,32757.3,32751.25,32751.25,32751,32751.25,32751.5,32751.5,32751,32751.5,32752,32752,32751.5,32751.25,32751.25,32751.75,32751.25,32751.25,32751.25,32751,32751,32750.75,32752.05,32749.86
32749,32748.3,32749,32750.8,32752,32753.25,32749.75,32749.5,32748.75,32749,32749,32749.25,32748.75,32749.25,32749.5,32749.25,32749.25,32748.75,32748.75,32748.25,32747.75,32747.25,32745,32745,32745.5,32749.86,32750.71
32751.5,32751,32749,32750.3,32753.8,32748.75,32751,32749.25,32750.25,32750.75,32750.75,32750.25,32750.75,32751,32751,32750.75,32750.75,32750.25,32750.25,32749.5,32749.5,32748.75,32748.75,32748.75,32748,32750.71,32748.7
32748.8,32748.8,32747.3,32747.8,32747.8,32749,32749,32749.5,32749.5,32749.75,32749.75,32749,32749.25,32750.75,32750.75,32750.75,32750.75,32750.75,32750.75,32749.5,32749.5,32747.75,32748,32746.5,32746.5,32748.7,32751.49
32753.3,32754,32751.3,32749.8,32749,32752.75,32752,32751.25,32751.25,32751,32751.25,32751.75,32750.25,32750.25,32750.25,32750.25,32749.75,32749.75,32748.75,32749,32749,32747.75,32747.25,32746,32746,32751.49,32748.13
32750,32748,32748,32747.8,32747,32748,32748,32748.5,32749,32748.25,32748.25,32747.75,32747.25,32747.25,32747.5,32747.5,32748,32748.25,32748.25,32747.75,32747.75,32747.25,32746,32746.25,32744.75,32748.13,32740.21
32741.8,32740.5,32742,32738.8,32741,32741.5,32739.75,32738.5,32738.25,32738.75,32738.75,32739,32739.75,32740,32740.25,32740,32739.5,32738.75,32738.5,32738,32738,32737.25,32736.5,32737,32737.25,32740.21,32740.66
32740.5,32740.5,32741.8,32739.5,32741.3,32741.5,32740.5,32740.75,32739.75,32740,32740.25,32741,32741,32741,32740.75,32740.75,32740.5,32738.5,32738.25,32738.25,32738.25,32737.5,32739.5,32739.5,32738.5,32740.66,32735.79
32736.5,32735.8,32733.5,32736.3,32737.3,32733.25,32735.75,32735.25,32735.75,32736.25,32736.75,32736.25,32737,32736.75,32737.25,32737.5,32737.5,32737,32737,32737.25,32737.25,32737.25,32737.5,32737.5,32736.5,32735.79,32750.38
32750.5,32750.5,32748,32749.3,32750,32752,32752,32750.25,32750,32750.25,32750.25,32751.75,32751.25,32750.75,32750.75,32751,32751,32751.25,32749.75,32749.5,32749.5,32750.25,32749.25,32749.25,32749.5,32750.38,32750.99
32751.8,32750.5,32749.5,32750.3,32750.3,32750.75,32750.5,32751.75,32752.25,32751,32751.5,32752.5,32752.5,32752.25,32751.75,32751.5,32751.75,32751.75,32751.75,32751.75,32751.75,32750.25,32750.25,32750.5,32750.5,32750.99,32744.24
32744.5,32745,32745,32742.8,32740.8,32744.5,32744.25,32743.5,32744.5,32745,32745,32746,32746,32746.5,32744.75,32745.5,32746.75,32746.75,32746.75,32746,32745.5,32745.5,32746.25,32746,32746,32744.24,32746.52
32746.3,32746.3,32746.5,32746,32745.8,32748.25,32746.5,32746.5,32747,32746.75,32746.25,32746.25,32746.25,32746.5,32746.5,32747,32746,32746.25,32744.75,32744.75,32746,32745.5,32745.25,32744.75,32744.75,32746.52,32747.65
32748.3,32748.3,32746.3,32748.8,32749.3,32748.25,32747,32747.5,32747,32746.75,32746.75,32746.5,32746.5,32746.5,32746.25,32745,32745,32745.25,32745.5,32745.25,32745,32745,32746.25,32746.25,32745.5,32747.65,32745.76
32744.8,32746.5,32746,32746.8,32749,32744.5,32744.25,32745,32745.25,32744.75,32745.5,32745,32745,32745,32745.25,32744.5,32744,32744,32744.25,32744.25,32744.25,32744.25,32743.75,32743.75,32744,32745.76,32747.37
32749.5,32746.8,32746.5,32747.3,32749.3,32747,32746.75,32747,32747.25,32747,32746.75,32746.5,32746.5,32746.5,32746.75,32746.75,32746.75,32746.75,32746.5,32746,32746,32747.25,32747.5,32748,32748,32747.37,32747.47
32748.8,32747.5,32747.5,32746.8,32749.3,32747.25,32747.5,32746.75,32746.75,32747,32746.5,32746.75,32746.75,32747,32747,32746.75,32746.75,32746.75,32748,32746.75,32746.25,32747.75,32747.75,32747.5,32748,32747.47,32747.09
32748.8,32746.8,32746.5,32746.8,32748.5,32747.25,32746.75,32747,32747,32747,32746.25,32747,32746.25,32746.25,32746.5,32746.75,32746.5,32746.5,32745.25,32744.75,32745.5,32745.25,32745,32746.5,32747,32747.09,32748.01
32749.3,32747.5,32747.5,32749.3,32749.5,32747.25,32747.5,32747.25,32748.25,32748.25,32747.5,32747.75,32746.5,32746.5,32746.5,32748,32746.75,32746.25,32746.25,32746.25,32746.5,32746.5,32747,32747,32747,32748.01,32745.69
32744.8,32744.8,32745,32746.5,32748,32744.75,32745,32746.5,32746.25,32746.25,32746.25,32746.25,32745.5,32745.25,32745.5,32744.75,32744,32744,32744.5,32744.5,32744.5,32744.5,32744.75,32744.75,32744.75,32745.69,32747.26
32747.5,32744.8,32747,32749,32749.3,32747.5,32747,32747.25,32748,32747,32747,32745.75,32745.5,32745.5,32744.5,32744,32744,32744,32744.75,32744.5,32744.75,32745.25,32744.75,32744.75,32745.25,32747.26,32749.39
32749.8,32748.5,32748.5,32748.8,32749.3,32750,32750.5,32750,32750,32749.25,32749.25,32749.25,32749.25,32748.75,32748.75,32748.75,32749,32749,32749.25,32749.5,32750,32748.75,32749.25,32749.25,32749.25,32749.39,32749.76
32750.5,32749,32749,32749.3,32749.5,32750.75,32750.5,32750.5,32749.75,32749.25,32749.5,32749.5,32749.75,32749,32749,32749.25,32748.75,32749,32749.5,32748.5,32748.25,32748.75,32749.25,32749,32749,32749.76,32763.77
32764.3,32762.3,32760.8,32762.3,32766,32764.25,32763.75,32764,32764.5,32764.75,32764.75,32764.75,32764.75,32765.5,32765.5,32765,32764.5,32764.5,32764.25,32764.5,32764,32764,32764,32764.5,32764.5,32763.77,32764.37
32768.8,32762.5,32760.8,32762.8,32762.8,32768.75,32764.5,32764.75,32764.25,32764.25,32764.25,32764.25,32764.25,32764.25,32764.25,32764.75,32765,32764,32764.25,32763.75,32763.75,32763.25,32761.5,32762.75,32762.5,32764.37,32776.17
32777.3,32775.5,32775.8,32774.8,32775.8,32775.25,32777.25,32776.25,32776.5,32777.5,32777.25,32777,32776.25,32776.5,32776.75,32776,32776.75,32776,32776.5,32776.5,32776.25,32776.25,32775.5,32775.5,32775.75,32776.17,32785.62
32783.8,32783.8,32786.8,32785.3,32783,32785,32787.5,32787.75,32787.75,32787.75,32786.25,32786.25,32787,32786.75,32787,32786.5,32787.5,32787.25,32787,32786.25,32786.25,32786.75,32786.5,32786.5,32786.75,32785.62,32775.89
32775.3,32775.3,32776.5,32777.5,32777,32775.5,32776.5,32774.5,32774.75,32775.75,32775.5,32775.5,32775,32775.25,32775.5,32775.5,32774,32773.75,32774,32774,32773.25,32773.25,32773.75,32774.25,32774.5,32775.89,32776.59
32773.5,32775.3,32775.3,32776,32780.3,32777,32776.25,32777.25,32776.75,32777,32777.5,32777.75,32778,32778,32778,32778.5,32779,32779,32779,32779,32779,32778.25,32779.25,32779.75,32780.25,32776.59,32771.38
32770,32770,32771.5,32772.5,32773.3,32770.25,32771.5,32770.5,32771.25,32771.25,32773,32771,32770.5,32771.5,32771.75,32771.75,32771.75,32771.75,32771.75,32773.25,32773.25,32771.5,32772,32772.25,32772,32771.38,32774.62
32774.3,32774.3,32773.5,32774.3,32777,32773.25,32774.25,32775,32775.75,32775.25,32774.75,32774.75,32774.75,32774.75,32775.5,32775.25,32775,32775.25,32775,32775.75,32775.75,32775.25,32775.25,32775.75,32776.75,32774.62,32767.95
32766.8,32767.8,32767.8,32768.8,32769.5,32766.75,32767.5,32767.5,32767.75,32768.25,32768.5,32769,32768.25,32768.5,32769,32769.25,32769,32768,32768.25,32768.5,32769.25,32769.25,32769.75,32769.5,32769.5,32767.95,32750.29
32748.8,32751,32748.3,32751,32754.8,32748.5,32748.75,32749,32749.75,32750.5,32751,32751.25,32751,32750.5,32751.25,32751.25,32751,32750.5,32750.5,32750.5,32751,32751,32751,32751,32752.25,32750.29,32763.12
32761.3,32761.3,32765.5,32762.8,32761.3,32763.5,32764.25,32765,32765,32764,32763.5,32762.25,32762.75,32762.75,32762.75,32762,32761.75,32761.75,32761.75,32762.5,32762,32761.75,32761.25,32762,32762,32763.12,32767.37
32766.3,32766,32765.3,32768.3,32770.8,32768,32766.25,32767.25,32768,32768,32768,32766.75,32766.75,32766.75,32767,32767,32767.25,32767.75,32768,32768.25,32768.25,32768.5,32767,32767,32767,32767.37,32770.75
32770.3,32770.3,32770.3,32770.5,32774.3,32770.25,32769.75,32771,32770.75,32770,32770.25,32770.75,32770.75,32770.5,32770,32768.75,32768.75,32769.5,32769.5,32769.5,32769.25,32769.25,32769.25,32768.75,32768.75,32770.75,32773.29
32771.3,32772.5,32772,32774.8,32774.5,32774,32772.75,32773.25,32773.5,32773.5,32774.25,32773.25,32773.25,32773.5,32773.25,32773.25,32773.25,32773.25,32773.25,32773.25,32773.25,32771.75,32771.75,32771.25,32771.5,32773.29,32773.06
32772.3,32772,32772,32772.8,32774.5,32774,32773.75,32772.75,32773.5,32773.25,32772.75,32773,32773,32772.75,32772.75,32772.75,32772.75,32772.75,32772.5,32772.5,32772.5,32771.25,32770.75,32770.75,32771,32773.06,32781.73
32781,32781,32781,32783.5,32787.8,32781.25,32782.25,32781.75,32780.5,32779.75,32779.25,32779,32779.75,32779.75,32779.75,32779.75,32779.75,32779.5,32777.75,32777.25,32777.25,32777,32777,32777.25,32776,32781.73,32778.55
32780.5,32780.5,32780.5,32776.5,32775,32781.25,32781,32776.75,32777,32777,32776.75,32776.75,32776.5,32776.5,32778.25,32777.5,32777,32777.25,32777,32776.75,32776.5,32777.75,32778,32778,32776.75,32778.55,32765.44
32762.8,32763.5,32763.5,32767,32768.8,32764.25,32763.5,32763.75,32767,32767,32767.25,32767.25,32766.75,32766.75,32765.75,32766,32766,32766.25,32766,32766,32766.25,32766.75,32766.75,32766.5,32768.5,32765.44,32765.58
32762.8,32764.5,32764.5,32766,32769,32764.75,32764.5,32764.5,32765.25,32766.25,32766.75,32767.75,32767.75,32767.75,32766.5,32766.25,32766.25,32766.5,32766,32766,32766.25,32766.75,32766.75,32766.5,32768.5,32765.58,32759.22
32758.8,32758.8,32758.8,32760.5,32758.8,32758.75,32758.75,32758.75,32759.75,32759.75,32759.75,32759.75,32759.5,32759.5,32759.5,32759.75,32759.25,32759.25,32759,32758.75,32758.75,32758.75,32758.75,32759.75,32759.5,32759.22,32755.92
32754,32756.3,32756.3,32756,32758.3,32754,32755.25,32755.25,32755.5,32756.5,32756.25,32757,32757.25,32758.25,32758.25,32758,32757.75,32757.5,32757.75,32757.5,32757.75,32758.5,32759,32758,32758,32755.92,32743.18
32745,32744.5,32744.5,32741.8,32739,32744.5,32743.5,32744,32742.75,32743,32743,32743,32743.25,32743.5,32743,32743.25,32743.25,32743.5,32743.75,32744.5,32743.5,32744,32743.75,32744.75,32744.75,32743.18,32758.61
32760.3,32757.5,32757,32758.3,32761,32760,32759.25,32758.25,32758.25,32758.25,32757.5,32756.5,32757,32757.5,32757.75,32757.75,32757.75,32757.25,32757.5,32757.25,32757,32757,32758,32757.5,32757.5,32758.61,32767.66
32770,32770.3,32770.3,32768.5,32764.5,32768.75,32767.75,32766.75,32766,32766.25,32765.75,32765,32764.75,32764.75,32764.75,32765,32765,32765,32765.5,32766,32765.5,32765,32765.25,32765.75,32765.75,32767.66,32766.69
32767.8,32767.8,32764.8,32766,32766,32766.5,32767.25,32767.5,32766.5,32766.75,32766.5,32766.75,32767.75,32767.75,32766.75,32766.75,32767,32767.25,32767,32767,32766,32765.5,32767,32768,32768,32766.69,32759.92
32757.8,32757.8,32759.8,32761.5,32762,32758.25,32758.75,32760,32760,32761.5,32761.5,32761.5,32761.75,32761.75,32760.5,32761,32761.25,32761,32761,32761,32760.25,32760,32759.75,32759.5,32760.75,32759.92,32766.64
32765.8,32768,32768.5,32765.3,32764.3,32767.75,32766.5,32767.75,32768.25,32766.25,32766.75,32766.5,32765.25,32765.25,32765.25,32767,32767,32766.25,32767.25,32767.75,32768.25,32767.75,32768,32767.5,32766,32766.64,32754.65
32754.8,32754.8,32753.3,32753.8,32756.5,32754.25,32754.25,32754.5,32754,32754.5,32754.75,32755,32756,32756.75,32756.5,32756,32756,32754.75,32755,32755.5,32755.25,32756.5,32756.5,32756,32756,32754.65,32750.83
32751,32752.5,32752.5,32750.8,32754,32748.5,32750.5,32749.5,32749.75,32749.75,32749.25,32749.25,32749.5,32749.75,32748.75,32748,32747.75,32747.25,32749.5,32749.5,32749.25,32748.25,32747.5,32747.75,32749,32750.83,32757.19
32757,32755.5,32755,32758.8,32760.3,32757.25,32757.25,32756.5,32757.5,32757,32756.25,32756.75,32757,32757.75,32757.75,32757.75,32757,32757,32757,32756,32756.25,32756.25,32756,32756,32755.75,32757.19,32762.04
32761.8,32761.8,32760.8,32762,32764.5,32760,32762.25,32762,32762,32762.5,32763,32762.75,32762.25,32762.25,32762.75,32762.5,32762.25,32762.25,32761.5,32761.5,32761.5,32761.75,32762,32762,32761.25,32762.04,32755.74
32757,32753.8,32753.8,32758,32759.5,32754.5,32755,32754,32754.25,32755.25,32755.75,32755.75,32755.75,32756.25,32756,32755.5,32755.5,32755.25,32755.5,32755,32755,32755,32754.5,32754.5,32754,32755.74,32761.69
32762,32763.3,32762.8,32760,32759.8,32762,32762,32763,32762.75,32760.75,32760.75,32761,32761.5,32762,32762,32762.5,32761.75,32762,32762,32759.5,32760,32760.25,32759.5,32759.75,32759.25,32761.69,32764.57
32765.3,32766.5,32766.5,32764.3,32764.3,32765,32762.5,32763.5,32763.75,32764.25,32764.25,32764,32763.25,32763.5,32764,32764,32764.25,32763.75,32764.5,32763.5,32763.5,32763,32763,32761.75,32761,32764.57,32763.94
32765.5,32764.3,32763,32764.3,32764.5,32764.5,32762.25,32762.25,32763.75,32763.75,32764,32763,32763.25,32764.25,32764.25,32764.25,32764,32763.75,32764,32763.25,32763.25,32764.25,32763.25,32761.75,32762.25,32763.94,32776.91
32776.3,32774.5,32774.8,32777,32778,32776.75,32776.5,32777.25,32777.75,32778,32778,32778.75,32779.5,32779.5,32778.75,32778.75,32778.75,32778.75,32778.25,32777.75,32776.75,32777.25,32777,32777,32776.75,32776.91,32776.17
32775.3,32775.3,32775,32776.5,32774.8,32775.5,32776.75,32776.5,32777,32777.25,32777.75,32777.5,32777.75,32778.25,32778,32778.25,32778.25,32777.75,32777.25,32777.25,32776.5,32776,32776.5,32776,32776,32776.17,32778.15
32776.8,32776.3,32776.5,32777.8,32778.8,32777.75,32778.5,32779.5,32779.75,32779.5,32779.25,32779.5,32780,32780.25,32780.5,32780.25,32779.25,32779.25,32779.25,32779.5,32779.5,32779.5,32777.75,32777.5,32777.75,32778.15,32772.74
32771,32771.3,32771.3,32774,32773.8,32771.75,32771.5,32773.25,32773.75,32774.25,32774,32774,32775,32775,32775,32775.25,32775,32775.75,32774.5,32773.5,32773,32773,32773,32773,32773,32772.74,32766.59
32766.8,32766.5,32767.8,32767,32766.8,32765.5,32766.75,32766.5,32766.5,32766.25,32766.25,32766,32766,32766.5,32766.5,32766,32766.75,32765.75,32765.75,32766.75,32766.25,32766.75,32768,32768,32767.75,32766.59,32775.19
32776.3,32775,32775,32774.3,32774.3,32776.25,32775.25,32775.5,32774.75,32774.75,32775.25,32774.75,32775.5,32775.25,32775.5,32775.25,32774.75,32774.75,32775.25,32774.75,32774.75,32774.5,32774.25,32773.75,32773.75,32775.19,32777.66
32776.5,32777,32777,32778,32778.3,32777,32777.75,32778.25,32777.25,32778.75,32779,32778.75,32778.75,32778.75,32778.75,32779.25,32779,32779,32779,32779.25,32779.5,32779.5,32779.5,32777,32776.5,32777.66,32778.12
32776,32777.8,32776.8,32778,32778.8,32776.5,32778.5,32778.5,32780,32780.25,32779.75,32779.25,32779,32779,32779,32779.5,32779.5,32779,32779,32779.25,32779.5,32779.5,32779.5,32779.5,32778,32778.12,32776.51
32777,32776,32775.5,32776.8,32779,32771.75,32777,32776.5,32776.5,32776.5,32777.5,32778,32778,32778.25,32779,32779,32778.5,32778.5,32778.25,32778.25,32778.25,32777.5,32777.5,32776.25,32776,32776.51,32770.54
32769.3,32769,32768.8,32773.5,32774.5,32768,32769.25,32769.25,32769.25,32770.5,32771.5,32772.5,32772.25,32772.5,32772.5,32772.25,32772,32772,32772.75,32772.75,32774,32773.75,32773.75,32773,32773,32770.54,32775.49
32775,32774.5,32775,32775.3,32774.8,32777.25,32775.75,32776.75,32775.5,32775.75,32775.75,32776,32776,32776,32776.25,32776.25,32775.75,32775.75,32775.75,32776.5,32776.5,32775,32775,32775,32774.75,32775.49,32776.58
32775,32776,32774,32778.8,32778.5,32777.25,32776.5,32777.5,32776.5,32776.75,32776.25,32776.5,32777,32777.25,32777,32778.25,32778.25,32778.25,32777.75,32778,32777.25,32776,32775,32775,32774.75,32776.58,32773.92
32772.3,32773.3,32773,32774.3,32777,32772.25,32773.25,32773.25,32774.25,32774.5,32774.5,32774.75,32775,32774.5,32774.5,32773.5,32771.5,32771.25,32772.75,32772.75,32772.75,32772.75,32773,32771.75,32771.75,32773.92,32771.87
32772,32770.8,32770.5,32772.3,32774.8,32770.75,32770.75,32771,32771,32771.5,32772,32773.25,32773.75,32773,32773,32772,32773,32773,32771.5,32771.5,32772.75,32772.75,32772.75,32772.75,32773.25,32771.87,32769.78
32768,32768,32767.5,32772.5,32774.8,32767.75,32767.5,32769.5,32769.75,32770.75,32771,32770.5,32771,32770.75,32769.25,32769,32769.75,32769.75,32769.75,32769.75,32768.5,32768.5,32769.25,32768.5,32768.5,32769.78,32774.71
32773.5,32774.5,32773.5,32774.3,32775,32774.25,32776,32774.75,32775.5,32775.25,32775.5,32775.5,32775,32775,32775.25,32774,32774,32774,32774,32774,32774,32774.5,32775.25,32774.75,32774.75,32774.71,32755.24
32756.5,32756.8,32755.5,32755.3,32756,32752.75,32752.5,32755.25,32755,32756.25,32756.5,32756,32755.5,32755.5,32756.75,32756.5,32758.25,32759,32759,32759.25,32757.75,32757.25,32757.5,32758.25,32758.25,32755.24,32744.84
32744,32744.5,32743.3,32744.8,32742.5,32744.75,32744.5,32746.75,32746,32747.25,32747.25,32747,32746.75,32747.25,32747.25,32747.75,32748,32749,32749,32748.75,32749,32749,32748.5,32748.5,32748.5,32744.84,32760.59
32761.8,32759.5,32758.5,32761.8,32763.5,32761.5,32759.5,32759,32759,32759,32760.75,32760.5,32760,32760,32759.75,32760,32759.75,32760,32759.5,32759.75,32760.25,32759.75,32759.5,32758.5,32758.5,32760.59,32759.74
32761,32759.3,32758.5,32762,32762.3,32758,32759,32757.75,32758.25,32758.5,32760,32759,32759,32759,32759.25,32759.5,32759.5,32759.75,32759.25,32759.25,32758.75,32758.75,32758.75,32759,32758.75,32759.74,32754.93
32756.3,32754.5,32754.5,32755.5,32757.5,32752.75,32754.5,32754.5,32754.5,32754,32754.5,32754.75,32754.75,32754.5,32754,32754.25,32754.5,32754.5,32754.5,32752.5,32752.5,32752.25,32752.75,32752.75,32752.5,32754.93,32750.27
32749.8,32749.8,32749.3,32752.5,32755.5,32748.25,32748.5,32748.5,32748.75,32750,32750.5,32749.5,32749.75,32751.25,32751.5,32751,32750.25,32749.5,32749.25,32749.25,32749.25,32749.25,32749,32748.75,32749,32750.27,32739.79
32739,32737.8,32738.8,32740,32740.3,32739,32739.5,32740.25,32741.25,32741.25,32741.25,32741.25,32741,32740.25,32740.5,32741.25,32741,32741.25,32740.5,32740.5,32740.75,32741,32741.5,32741,32741.5,32739.79,32748.28
32746.8,32746.8,32746.8,32750.3,32753.8,32746.75,32747.25,32749.25,32748.75,32748.75,32748.5,32747,32747,32748,32748.25,32748.25,32748,32748.5,32748.5,32748.25,32748,32747.75,32748.25,32745.25,32744.5,32748.28,32753.55
32753.5,32751.5,32751,32754.5,32755,32753.5,32751.75,32754.5,32755,32755.25,32755.25,32754.75,32754.5,32755,32755,32755,32755,32755,32755,32755,32753,32754.5,32754.75,32754.75,32754.5,32753.55,32767.01
32765.5,32764.5,32762.8,32766.5,32770.3,32765.75,32767.5,32768.25,32769.75,32769,32768.75,32768.75,32768.75,32768,32768,32767.75,32767.75,32767.5,32767.5,32767.75,32767.75,32767.75,32766.5,32767,32766.5,32767.01,32766.68
32764.8,32764.8,32764.8,32767.3,32771.3,32764.75,32764.75,32767.75,32767.5,32768.25,32768.75,32768.75,32768,32767,32767.25,32767,32766.25,32766.25,32765.5,32765.25,32765,32765.75,32765.5,32765.75,32765.75,32766.68,32769.42
32770.8,32768.3,32768.3,32771,32771.8,32770.25,32768.5,32768.25,32768.25,32769,32768.75,32768.5,32768.25,32767.75,32767.75,32767.75,32767.75,32767.75,32765.25,32765.5,32766.5,32766.25,32765.25,32765.75,32764.75,32769.42,32755.64
32754.3,32753.3,32757,32756,32754.8,32754.25,32754,32757.25,32757.75,32757.25,32757,32757.5,32758,32759,32759,32759.75,32759.75,32759.75,32760.25,32759.75,32759.75,32759.75,32759.75,32760.25,32759.75,32755.64,32758.34
32758.8,32758.5,32757.3,32759,32758,32757.25,32758.5,32757.75,32758.5,32759,32759,32758.5,32758.5,32758.5,32758.5,32758.75,32759.25,32759.5,32759.5,32757.5,32757.25,32757.25,32757.5,32758,32756.25,32758.34,32762.08
